The Jetsons Meet the Flintstones, 1987
Jocks, 1987
King Lear, 1987
Kung Fu: The Next Generation, 1987
La Bamba, 1987
Lady Beware, 1987
The Legend of the White Horse, 1987
Leonard Part 6, 1987
Less Than Zero, 1987
Lethal Weapon, 1987
Light of Day, 1987
Like Father Like Son, 1987
Lionheart, 1987
Living on Tokyo Time, 1987
Long Gone, 1987
The Lost Boys, 1987
Love Among Thieves, 1987
Love at Stake, 1987
Made in Heaven, 1987
Maid to Order, 1987
Making Mr. Right, 1987
Malone, 1987
Man on Fire, 1987
Mannequin, 1987
Masters of the Universe, 1987
Matewan, 1987
Meatballs III: Summer Job, 1987
Miami Connection, 1987
Million Dollar Mystery, 1987
The Monster Squad, 1987
Moonstruck, 1987
Morgan Stewart's Coming Home, 1987
Mr. Nice Guy, 1987
Munchies, 1987
My Best Friend's Birthday, 1987
My Little Girl, 1987
Nadine, 1987
Near Dark, 1987
A Nightmare on Elm Street 3: Dream Warriors, 1987
No Man's Land, 1987
No Way Out, 1987
North Shore, 1987
Nowhere to Hide, 1987
Number One with a Bullet, 1987
Nuts, 1987
O.C. and Stiggs, 1987
On the Black Hill, 1987
Orphans, 1987
Outrageous Fortune, 1987
Over the Top, 1987
Overboard, 1987
The Pick-up Artist, 1987
Pinocchio and the Emperor of the Night, 1987
Planes, Trains and Automobiles, 1987
Police Academy 4: Citizens on Patrol, 1987
Poor Little Rich Girl: The Barbara Hutton Story, 1987
A Prayer for the Dying, 1987
Predator, 1987
Prince of Darkness, 1987
The Princess Bride, 1987
The Principal, 1987
Prison, 1987
Project X, 1987
Promised Land, 1987
Radio Days, 1987
Raising Arizona, 1987
Rampage, 1987
Real Men, 1987
Red's Dream, 1987
Redneck Zombies, 1987
Rent-a-Cop, 1987
Return to Horror High, 1987
A Return to Salem's Lot, 1987
Revenge of the Nerds II: Nerds in Paradise, 1987
Right to Die, 1987
RoboCop, 1987
The Rosary Murders, 1987
Roxanne, 1987
RuPaul Is: Starbooty!, 1987
The Running Man, 1987
Russkies, 1987
Salvation!, 1987
Scooby-Doo Meets the Boo Brothers, 1987
The Secret of My Succe$s, 1987
September, 1987
Shake! Otis at Monterey, 1987
Shy People, 1987
The Sicilian, 1987
Siesta, 1987
Sign o' the Times, 1987
Silent Night, Deadly Night Part 2, 1987
Sister, Sister, 1987
Slam Dance, 1987
Slumber Party Massacre II, 1987
Snow White, 1987
Some Kind of Wonderful, 1987
Someone to Love, 1987
Someone to Watch Over Me, 1987
Sorority House Massacre, 1987
Spaceballs, 1987
Square Dance, 1987
The Squeeze, 1987
Stakeout, 1987
Steel Dawn, 1987
The Stepfather, 1987
Still Crazy Like a Fox, 1987
Straight to Hell, 1987
Street Smart, 1987
Street Trash, 1987
Succumbs, 1987
Summer Heat, 1987
Summer School, 1987
Superman IV: The Quest for Peace, 1987
Superstar: The Karen Carpenter Story, 1987
Surf Nazis Must Die, 1987
Surrender, 1987
Suspect, 1987
Sweet Country, 1987
Sweet Revenge, 1987
Swimming to Cambodia, 1987
Teen Wolf Too, 1987
Terminus, 1987
Terror Squad, 1987
They Still Call Me Bruce, 1987
Three Men and a Baby, 1987
Three O'Clock High, 1987
Three for the Road, 1987
Throw Momma from the Train, 1987
Thunder Prince, 1987
A Tiger's Tale, 1987
Tigershark, 1987
Tin Men, 1987
Tough Guys Don't Dance, 1987
The Trouble with Spies, 1987
Uncle Meat, 1987
The Untouchables, 1987
The Video Dead, 1987
Video from Hell, 1987
Waiting for the Moon, 1987
Walker, 1987
Wall Street, 1987
Wanted: Dead or Alive, 1987
Weeds, 1987
The Whales of August, 1987
White of the Eye, 1987
White Water Summer, 1987
Who's That Girl, 1987
Wild Thing, 1987
The Witches of Eastwick, 1987
The Worst of Faces of Death, 1987
Yogi's Great Escape, 1987
You Ruined My Life, 1987
Zombie High, 1987
18 Again!, 1988
1969, 1988
'68, 1988
Above the Law, 1988
The Accidental Tourist, 1988
The Accused, 1988
Action Jackson, 1988
After Death, 1988
Alien Nation, 1988
Alien from L.A., 1988
American Gothic, 1988
And God Created Woman, 1988
Another Woman, 1988
Appointment With Death, 1988
The Appointments of Dennis Jennings, 1988
Arthur 2: On the Rocks, 1988
Baby M, 1988
Bad Dreams, 1988
Bat*21, 1988
Beaches, 1988
The Beast, 1988
Beetlejuice, 1988
Betrayed, 1988
Big, 1988
The Big Blue, 1988
Big Business, 1988
Big Time, 1988
Big Top Pee-wee, 1988
Biloxi Blues, 1988
Bird, 1988
Black Eagle, 1988
Black Roses, 1988
The Blob, 1988
Blood Orgy of the Leather Girls, 1988
Bloodsport, 1988
Bloodstone, 1988
The Blue Iguana, 1988
The Boost, 1988
The Bourne Identity, 1988
Braddock: Missing in Action III, 1988
Brain Damage, 1988
Bravestarr: The Legend, 1988
Bright Lights, Big City, 1988
Bull Durham, 1988
Bulletproof, 1988
C.H.U.D. II: Bud the C.H.U.D., 1988
Caddyshack II, 1988
Call Me, 1988
Casual Sex?, 1988
Catacombs, 1988
Cellar Dweller, 1988
Child's Play, 1988
The Chocolate War, 1988
Christmas in Tattertown, 1988
Clara's Heart, 1988
Clean and Sober, 1988
Clownhouse, 1988
Cocktail, 1988
Cocoon: The Return, 1988
Colors, 1988
Comic Book Confidential, 1988
Coming to America, 1988
Cop, 1988
The Couch Trip, 1988
Crash Course, 1988
Crossing Delancey, 1988
A Cry in the Dark, 1988
D.O.A., 1988
Da, 1988
Daffy Duck's Quackbusters, 1988
Dance 'Til Dawn, 1988
Dangerous Curves, 1988
Dangerous Liaisons, 1988
Dead Heat, 1988
The Dead Next Door, 1988
The Dead Pool, 1988
Dead Ringers, 1988
Dead Solid Perfect, 1988
Deadly Dreams, 1988
Death Faces, 1988
The Decline of Western Civilization II, 1988
Destroyer, 1988
Die Hard, 1988
Dirty Rotten Scoundrels, 1988
Distant Thunder, 1988
Dominick and Eugene, 1988
The Drifter, 1988
Earth Girls Are Easy, 1988
Eight Men Out, 1988
Elvira, Mistress of the Dark, 1988
Elvis and Me, 1988
Ernest Saves Christmas, 1988
Everybody's All-American, 1988
Far North, 1988
Feds, 1988
A Fish Called Wanda, 1988
Flesheater, 1988
For Keeps?, 1988
Frantic, 1988
Fresh Horses, 1988
Friday the 13th Part VII: The New Blood, 1988
Fright Night II, 1988
Full Moon in Blue Water, 1988
Fun Down There, 1988
Funny Farm, 1988
Garfield: His 9 Lives, 1988
'Gator Bait II: Cajun Justice, 1988
The Good Mother, 1988
The Good, the Bad, and Huckleberry Hound, 1988
Gorillas in the Mist: The Story of Dian Fossey, 1988
Gotham, 1988
Grave of the Fireflies, 1988
The Great Escape II: The Untold Story, 1988
The Great Outdoors, 1988
Hairspray, 1988
Halloween 4: The Return of Michael Myers, 1988
Hanna's War, 1988
Heart of Midnight, 1988
Heartbreak Hotel, 1988
Heathers, 1988
Hellbound: Hellraiser II, 1988
Hero and the Terror, 1988
High Spirits, 1988
Hobgoblins, 1988
Hollywood Chainsaw Hookers, 1988
Homeboy, 1988
Hot to Trot, 1988
The House on Carroll Street, 1988
Howling IV: The Original Nightmare, 1988
I'm Gonna Git You Sucka, 1988
Ika Hands, 1988
Illegally Yours, 1988
The Incredible Hulk Returns, 1988
Iron Eagle II, 1988
It Came from Somewhere Else, 1988
Jack's Back, 1988
Johnny Be Good, 1988
Justin Case, 1988
Kansas, 1988
Kenny, 1988
Killer Klowns from Outer Space, 1988
The Kiss, 1988
Lady in White, 1988
The Land Before Time, 1988
Last Rites, 1988
The Last Temptation of Christ, 1988
Laura Lansing Slept Here, 1988
License to Drive, 1988
Light Years, 1988
Little Nikita, 1988
Mac and Me, 1988
Macho Dancer, 1988
Madame Sousatzka, 1988
A Man for All Seasons, 1988
The Man from Snowy River II, 1988
Maniac Cop, 1988
Married to the Mob, 1988
Masquerade, 1988
Memories of Me, 1988
Messenger of Death, 1988
Mickey's 60th Birthday, 1988
Midnight Run, 1988
The Milagro Beanfield War, 1988
Miles from Home, 1988
Miracle Mile, 1988
Missile, 1988
Mississippi Burning, 1988
The Moderns, 1988
Monkey Shines, 1988
Moon Over Parador, 1988
Moonwalker, 1988
Moving, 1988
Mr. North, 1988
The Murder of Mary Phagan, 1988
My Best Friend Is a Vampire, 1988
My Stepmother Is an Alien, 1988
Mystic Pizza, 1988
The Naked Gun: From the Files of Police Squad!, 1988
Necromancer, 1988
Negatives, 1988
The New Adventures of Pippi Longstocking, 1988
A New Life, 1988
The Night Before, 1988
A Night in the Life of Jimmy Reardon, 1988
Nightmare at Bittercreek, 1988
A Nightmare on Elm Street 4: The Dream Master, 1988
Ninja Strike Force, 1988
No Retreat, No Surrender 2, 1988
Not Of This Earth, 1988
Off Limits, 1988
Oliver & Company, 1988
Ollie Hopnoodle's Haven of Bliss, 1988
Out of Time, 1988
Pass the Ammo, 1988
Patty Hearst, 1988
Permanent Record, 1988
Phantasm II, 1988
Picasso Trigger, 1988
Plain Clothes, 1988
Platoon Leader, 1988
Police Academy 5: Assignment Miami Beach, 1988
Poltergeist III, 1988
Pound Puppies and the Legend of Big Paw, 1988
The Presidio, 1988
The Prince of Pennsylvania, 1988
Prison, 1988
Punchline, 1988
Purple People Eater, 1988
Puss in Boots, 1988
Rain Man, 1988
Rambo III, 1988
Rampage, 1988
Rattle and Hum, 1988
Red Heat, 1988
Red Hot Skate Rock, 1988
Remote Control, 1988
Rent-A-Cop, 1988
Rented Lips, 1988
The Rescue, 1988
Return of the Killer Tomatoes, 1988
Return of the Living Dead Part II, 1988
Rocket Gibraltar, 1988
Running on Empty, 1988
Satisfaction, 1988
Saturday the 14th Strikes Back, 1988
Scarecrows, 1988
School Daze, 1988
Scooby-Doo and the Ghoul School, 1988
Scooby-Doo and the Reluctant Werewolf, 1988
Scrooged, 1988
The Serpent and the Rainbow, 1988
The Seventh Sign, 1988
Slaughterhouse Rock, 1988
Shadow Man, 1988
Shadows in the Storm, 1988
Shakedown, 1988
She's Having a Baby, 1988
Shoot to Kill, 1988
Short Circuit 2, 1988
Sleepaway Camp II: Unhappy Campers, 1988
Slugs, 1988
Some Girls, 1988
Sorority Babes in the Slimeball Bowl-O-Rama, 1988
Spalding Gray: Terrors of Pleasure, 1988
Spellbinder, 1988
Spellcaster, 1988
Spike of Bensonhurst, 1988
Splash, Too, 1988
Split Decisions, 1988
Stand and Deliver, 1988
Stars and Bars, 1988
Stealing Home, 1988
Stormy Monday, 1988
Storytelling Giant, 1988
Sunset, 1988
Sweet Hearts Dance, 1988
Sweet Lies, 1988
Switching Channels, 1988
Talk Radio, 1988
Tapeheads, 1988
Tequila Sunrise, 1988
They Live, 1988
The Thin Blue Line, 1988
Time Is Money, 1988
A Time of Destiny, 1988
Tin Toy, 1988
Tommy Tricker and the Stamp Traveller, 1988
Too Good to Be True, 1988
Torch Song Trilogy, 1988
Tougher Than Leather, 1988
Track 29, 1988
Tucker: The Man and His Dream, 1988
Twins, 1988
Two Moon Junction, 1988
The Unbearable Lightness of Being, 1988
The Understudy: Graveyard Shift II, 1988
Uninvited (1988 film), 1988
A Very Brady Christmas, 1988
Vibes, 1988
Vice Versa, 1988
Victim of the Brain, 1988
War Party, 1988
War and Remembrance, 1988
Watchers, 1988
Waxwork, 1988
Who Framed Roger Rabbit, 1988
Willow, 1988
Willy the Sparrow, 1988
Witchcraft, 1988
Working Girl, 1988
World Gone Wild, 1988
Young Guns, 1988
84C MoPic, 1989
The Abyss, 1989
After Midnight, 1989
Alienator, 1989
Alien Seed, 1989
All Dogs Go to Heaven, 1989
Always, 1989
American Ninja 3: Blood Hunt, 1989
Amityville 4: The Evil Escapes, 1989
Arena, 1989
Back to the Future Part II, 1989
Batman, 1989
Bert Rigby, You're a Fool, 1989
Best of the Best, 1989
Beverly Hills Brats, 1989
Beyond the Stars, 1989
The Big Picture, 1989
Bill & Ted's Excellent Adventure, 1989
Black Rain, 1989
Blaze, 1989
Blind Fury, 1989
Bloodhounds of Broadway, 1989
Born on the Fourth of July, 1989
Breaking In, 1989
Bridesmaids, 1989
The 'Burbs, 1989
C.H.U.D. II: Bud the C.H.U.D., 1989
Cameron's Closet, 1989
Cannibal Women in the Avocado Jungle of Death, 1989
Casualties of War, 1989
Cat Chaser, 1989
Chameleon Street, 1989
Chances Are, 1989
Chattahoochee, 1989
Checking Out, 1989
Cheetah, 1989
The Chilling, 1989
Cohen and Tate, 1989
Cold Feet, 1989
Collision Course, 1989
Common Threads: Stories from the Quilt, 1989
Communion, 1989
Cookie, 1989
Cousins, 1989
Crimes and Misdemeanors, 1989
Criminal Law, 1989
Cutting Class, 1989
Cyborg, 1989
Dad, 1989
Day One, 1989
Dead Bang, 1989
Dead Calm, 1989
The Dead Pit, 1989
Dead Poets Society, 1989
DeepStar Six, 1989
Disorganized Crime, 1989
Do the Right Thing, 1989
Dr. Caligari, 1989
The Dream Team, 1989
Dream a Little Dream, 1989
Driving Miss Daisy, 1989
Drugstore Cowboy, 1989
A Dry White Season, 1989
Eat a Bowl of Tea, 1989
Eddie and the Cruisers II: Eddie Lives!, 1989
Edge of Sanity, 1989
Enemies, a Love Story, 1989
The Evil Below, 1989
The Experts, 1989
The Fabulous Baker Boys, 1989
Family Business, 1989
Farewell to the King, 1989
Fat Man and Little Boy, 1989
The Favorite, 1989
Field of Dreams, 1989
The Final Days, 1989
Fire and Rain, 1989
Flesh Gordon Meets the Cosmic Cheerleaders, 1989
Fletch Lives, 1989
The Fly II, 1989
For All Mankind, 1989
Friday the 13th Part VIII: Jason Takes Manhattan, 1989
Ghostbusters II, 1989
Ginger Ale Afternoon, 1989
Gleaming the Cube, 1989
Glory, 1989
Going Overboard, 1989
Great Balls of Fire!, 1989
Gross Anatomy, 1989
Halloween 5: The Revenge of Michael Myers, 1989
Harlem Nights, 1989
Heart of Dixie, 1989
Heathers, 1989
Her Alibi, 1989
Hit List, 1989
Homer and Eddie, 1989
Homework, 1989
Honey, I Shrunk the Kids, 1989
The Horror Show, 1989
How I Got into College, 1989
Howling V: The Rebirth, 1989
Identity Crisis, 1989
Immediate Family, 1989
In Country, 1989
Indiana Jones and the Last Crusade, 1989
An Innocent Man, 1989
Intruder, 1989
Jacknife, 1989
The January Man, 1989
Johnny Handsome, 1989
K-9, 1989
Kamillions, 1989
The Karate Kid, Part III, 1989
Kickboxer, 1989
Kill Me Again, 1989
Killer!, 1989
Kinjite: Forbidden Subjects, 1989
Knick Knack, 1989
L.A. Takedown, 1989
Last Exit to Brooklyn, 1989
Lauderdale, 1989
Lean on Me, 1989
Let It Ride, 1989
Lethal Weapon 2, 1989
Leviathan, 1989
Limit Up, 1989
Listen to Me, 1989
Little Golden Book Land, 1989
The Little Mermaid, 1989
Little Monsters, 1989
Lock Up, 1989
Lonesome Dove, 1989
Look Who's Talking, 1989
Lords of the Deep, 1989
Lost Angels, 1989
Loverboy, 1989
Major League, 1989
The Making of Me, 1989
Meet the Hollowheads, 1989
The Mighty Quinn, 1989
Mike Hammer: Murder Takes All, 1989
Millennium, 1989
Miss Firecracker, 1989
Moontrap, 1989
Music Box, 1989
My Mom's a Werewolf, 1989
My Name is Bill W., 1989
Mystery Train, 1989
National Lampoon's Christmas Vacation, 1989
Never on Tuesday, 1989
New York Stories, 1989
Next of Kin, 1989
Nick Knight, 1989
Night Game, 1989
Night of the Ninja, 1989
A Nightmare on Elm Street 5: The Dream Child, 1989
Nightwish, 1989
No Holds Barred, 1989
Nowhere to Run, 1989
Offerings, 1989
Old Gringo, 1989
Out of the Dark, 1989
The Package, 1989
The Parent Trap III, 1989
Parenthood, 1989
Parents, 1989
Penn & Teller Get Killed, 1989
Pet Sematary, 1989
The Phantom of the Opera: The Motion Picture, 1989
Physical Evidence, 1989
Pink Cadillac, 1989
Police Academy 6: City Under Siege, 1989
Prancer, 1989
The Preppie Murder, 1989
Pumpkinhead, 1989
The Punisher, 1989
Puppet Master, 1989
R.O.T.O.R., 1989
Red Scorpion, 1989
Relentless, 1989
Renegades, 1989
The Return of Swamp Thing, 1989
River of Death, 1989
Road House, 1989
Roger & Me, 1989
Samurai Cop, 1989
Say Anything, 1989
Scenes from the Class Struggle in Beverly Hills, 1989
Sea of Love, 1989
Second Sight, 1989
See No Evil, Hear No Evil, 1989
See You in the Morning, 1989
Sex, Lies, and Videotape, 1989
Shag, 1989
Shakedown, 1989
She's Out of Control, 1989
She-Devil, 1989
Shocker, 1989
Sidewalk Stories, 1989
Signs of Life, 1989
Silent Night, Deadly Night 3: Better Watch Out!, 1989
Sinbad of the Seven Seas, 1989
Sing, 1989
Skin Deep, 1989
Slaves of New York, 1989
Sleepaway Camp III: Teenage Wasteland, 1989
Small Sacrifices, 1989
Snake Eater, 1989
Society, 1989
Speed Zone, 1989
Split, 1989
Star Trek V: The Final Frontier, 1989
Staying Together, 1989
Steel Magnolias, 1989
Stepfather II, 1989
Strapless, 1989
The Suckling, 1989
Sweet Bird of Youth, 1989
Tango & Cash, 1989
Tap, 1989
Teen Witch, 1989
Ten Little Indians, 1989
The Terror Within, 1989
This Ain't Bebop, 1989
Those She Left Behind, 1989
Three Fugitives, 1989
To Die For, 1989
Tongues Untied, 1989
The Toxic Avenger Part II, 1989
The Toxic Avenger Part III: The Last Temptation of Toxie, 1989
Trapped, 1989
The Trial of the Incredible Hulk, 1989
Triumph of the Spirit, 1989
Troop Beverly Hills, 1989
Tropical Snow, 1989
True Believer, 1989
True Love, 1989
The True Story of Frank Zappa's 200 Motels, 1989
Tummy Trouble, 1989
Turner & Hooch, 1989
Twister, 1989
UHF, 1989
The Unbelievable Truth, 1989
Uncle Buck, 1989
Valmont, 1989
Vampire's Kiss, 1989
Wait Until Spring, Bandini, 1989
The War of the Roses, 1989
Warlock, 1989
We're No Angels, 1989
Weekend at Bernie's, 1989
Welcome Home, 1989
When Harry Met Sally..., 1989
Who's Harry Crumb?, 1989
Wicked Stepmother, 1989
Winter People, 1989
Wired, 1989
The Wizard of Speed and Time, 1989
The Wizard, 1989
The Women of Brewster Place, 1989
Worth Winning, 1989
The Adventures of Ford Fairlane, 1990
After Dark, My Sweet, 1990
Air America, 1990
Alice, 1990
Almost an Angel, 1990
The Ambulance, 1990
American Dream, 1990
American Ninja 4: The Annihilation, 1990
Andre's Mother, 1990
Angel Town, 1990
Another 48 Hrs., 1990
Arachnophobia, 1990
Avalon, 1990
Awakenings, 1990
Back to the Future Part III, 1990
Bad Influence, 1990
Basket Case 2, 1990
Betsy's Wedding, 1990
Bird on a Wire, 1990
Blind Faith, 1990
Bloodfist II, 1990
Blue Steel, 1990
The Bonfire of the Vanities, 1990
Bride of Re-Animator, 1990
Cadence, 1990
Cadillac Man, 1990
Camp Cucamonga, 1990
Captain America, 1990
Cartoon All-Stars to the Rescue, 1990
Catchfire, 1990
Challenger, 1990
Checkered Flag, 1990
Child in the Night, 1990
Child's Play 2, 1990
China Cry, 1990
The China Lake Murders, 1990
China O'Brien, 1990
Class of 1999, 1990
Coins in the Fountain, 1990
Come See the Paradise, 1990
Coupe de Ville, 1990
Crash and Burn, 1990
Crazy People, 1990
Cry-Baby, 1990
Daddy's Dyin': Who's Got the Will?, 1990
Dances with Wolves, 1990
Deep Throat 2, 1990
The Dark Side of the Moon, 1990
Darkman, 1990
Daughter of Darkness, 1990
Days of Thunder, 1990
Death Machine, 1990
Death Warrant, 1990
Deceptions, 1990
Decoration Day, 1990
Def by Temptation, 1990
Delta Force 2: The Colombian Connection, 1990
Denial, 1990
Desperate Hours, 1990
Dick Tracy, 1990
Die Hard 2, 1990
A Divine Double Feature, 1990
Dorf Goes Auto Racing, 1990
Downtown, 1990
Dream Machine, 1990
DuckTales the Movie: Treasure of the Lost Lamp, 1990
Edward Scissorhands, 1990
The End of Innocence, 1990
Ernest Goes to Jail, 1990
Everybody Wins, 1990
The Exorcist III, 1990
Eyes on the Prize, 1990
Faces of Death IV, 1990
Far Out Man, 1990
The Final Sanction, 1990
Fire Birds, 1990
The First Power, 1990
Flashback, 1990
Flatliners, 1990
The Forbidden Dance, 1990
The Fourth War, 1990
Frankenhooker, 1990
Frankenstein Unbound, 1990
The Freshman, 1990
Full Fathom Five, 1990
Funny About Love, 1990
Getting Lucky, 1990
Ghost, 1990
Ghost Dad, 1990
Ghosts Can't Do It, 1990
Girlfriend from Hell, 1990
The Godfather Part III, 1990
Goodfellas, 1990
Graffiti Bridge, 1990
Green Card, 1990
Gremlins 2: The New Batch, 1990
The Grifters, 1990
Grim Prairie Tales, 1990
The Guardian, 1990
Guns, 1990
The Guyver, 1990
The Handmaid's Tale, 1990
Hard to Kill, 1990
Hardware, 1990
Havana, 1990
Heart Condition, 1990
Henry & June, 1990
Henry: Portrait of a Serial Killer, 1990
Home Alone, 1990
Hot Cars, Cold Facts, 1990
The Hot Spot, 1990
House Party, 1990
The Hunt for Red October, 1990
I Come in Peace, 1990
I Love You to Death, 1990
I'm Dangerous Tonight, 1990
Industrial Symphony No. 1, 1990
Initiation: Silent Night, Deadly Night 4, 1990
Internal Affairs, 1990
Iron & Silk, 1990
It, 1990
Jacob's Ladder, 1990
Jetsons: The Movie, 1990
Joe Versus the Volcano, 1990
The Kill-Off, 1990
Killer Tomatoes Strike Back, 1990
Kindergarten Cop, 1990
King of New York, 1990
Laser Mission, 1990
The Last of the Finest, 1990
Leatherface: The Texas Chainsaw Massacre III, 1990
The Lemon Sisters, 1990
Lionheart, 1990
The Long Walk Home, 1990
Look Who's Talking Too, 1990
Loose Cannons, 1990
Lord of the Flies, 1990
Love at Large, 1990
Mack the Knife, 1990
Madhouse, 1990
A Man Called Sarge, 1990
Maniac Cop 2, 1990
Marked for Death, 1990
Martians Go Home, 1990
Masters of Menace, 1990
Megaville, 1990
Memphis Belle, 1990
Men at Work, 1990
Men Don't Leave, 1990
Men of Respect, 1990
Meridian: Kiss of the Beast, 1990
Mermaids, 1990
Metamorphosis: The Alien Factor, 1990
Metropolitan, 1990
Miami Blues, 1990
Miller's Crossing, 1990
Misery, 1990
Mister Frost, 1990
Mister Johnson, 1990
Mo' Better Blues, 1990
Mob Story, 1990
A Mom for Christmas, 1990
Moon 44, 1990
Mother Goose Rock 'n' Rhyme, 1990
Mountains of the Moon, 1990
Mr. Destiny, 1990
Mr. and Mrs. Bridge, 1990
Murder in Mississippi, 1990
My Blue Heaven, 1990
Narrow Margin, 1990
Navy SEALs, 1990
The NeverEnding Story II: The Next Chapter, 1990
Night Eyes, 1990
Night of the Living Dead, 1990
Nightbreed, 1990
Ninja Academy, 1990
No Retreat, No Surrender 3: Blood Brothers, 1990
The Nutcracker Prince, 1990
Opportunity Knocks, 1990
Pacific Heights, 1990
Paris Is Burning, 1990
The Pit and the Pendulum, 1990
Plunder & Lightning, 1990
Postcards from the Edge, 1990
Predator 2, 1990
Presumed Innocent, 1990
Pretty Woman, 1990
Problem Child, 1990
Prom Night III: The Last Kiss, 1990
Psycho IV: The Beginning, 1990
Pump Up the Volume, 1990
Q&A, 1990
Quick Change, 1990
Quigley Down Under, 1990
Ralph S. Mouse, 1990
The Reflecting Skin, 1990
Repossessed, 1990
The Rescuers Down Under, 1990
Revenge, 1990
Reversal of Fortune, 1990
RoboCop 2, 1990
Robot Jox, 1990
Rock 'n' Roll High School Forever, 1990
Rocky V, 1990
Roller Coaster Rabbit, 1990
Romeo-Juliet, 1990
The Rookie, 1990
Rose Kennedy: A Life to Remember, 1990
Rosencrantz & Guildenstern Are Dead, 1990
The Russia House, 1990
Shipwrecked, 1990
A Shock to the System, 1990
Short Time, 1990
A Show of Force, 1990
Shreck, 1990
The Shrimp on the Barbie, 1990
Sibling Rivalry, 1990
Side Out, 1990
Slumber Party Massacre 3, 1990
Sorority House Massacre 2, 1990
Snake Eater II: The Drug Buster, 1990
Solar Crisis, 1990
Somebody has to Shoot the Picture, 1990
Soultaker, 1990
Spaced Invaders, 1990
Spirit of '76, 1990
Spontaneous Combustion, 1990
Spymaker: The Secret Life of Ian Fleming, 1990
Stanley & Iris, 1990
State of Grace, 1990
Stella, 1990
Strike It Rich, 1990
Taking Care of Business, 1990
Tales from the Darkside: The Movie, 1990
Teenage Mutant Ninja Turtles, 1990
Terminal City Ricochet, 1990
Texasville, 1990
That's Black Entertainment, 1990
Three Men and a Little Lady, 1990
Till There Was You, 1990
Time of Love, 1990
Too Much Sun, 1990
To Sleep with Anger, 1990
Total Recall, 1990
Treasure Island, 1990
Tremors, 1990
Troll 2, 1990
Troll 3, 1990
Trust, 1990
Tune in Tomorrow, 1990
Twisted Obsession, 1990
The Two Jakes, 1990
Vincent & Theo, 1990
Voodoo Dawn, 1990
Welcome Home, Roxy Carmichael, 1990
When You Remember Me, 1990
Where the Heart Is, 1990
White Hunter Black Heart, 1990
White Palace, 1990
White Room, 1990
Why Me?, 1990
Wild Orchid, 1990
Wild at Heart, 1990
Witchcraft II: The Temptress, 1990
The Witches, 1990
Without You I'm Nothing, 1990
Young Guns II, 1990
Zapped Again!, 1990
12:01 PM, 1990
29th Street, 1991
Across the Tracks, 1991
The Addams Family, 1991
All I Want for Christmas, 1991
An American Tail: Fievel Goes West, 1991
And the Sea Will Tell, 1991
Another You, 1991
At Play in the Fields of the Lord, 1991
Backdraft, 1991
Barton Fink, 1991
Beauty and the Beast, 1991
Bill & Ted's Bogus Journey, 1991
Billy Bathgate, 1991
Bingo, 1991
Blue Desert, 1991
Body Parts, 1991
The Boneyard, 1991
The Borrower, 1991
Boyz n the Hood, 1991
Breathing Fire, 1991
Bride of Re-Animator, 1991
A Brief History of Time, 1991
Brother Future, 1991
Bugsy, 1991
The Butcher's Wife, 1991
By the Sword, 1991
Cape Fear, 1991
Captain America, 1991
Career Opportunities, 1991
Children of the Night, 1991
Child's Play 3, 1991
Chopper Chicks in Zombietown, 1991
Chuck Amuck: The Movie, 1991
City of Hope, 1991
City Slickers, 1991
Class Action, 1991
Class of Nuke 'Em High II: Subhumanoid Meltdown, 1991
Closet Land, 1991
Cold Heaven, 1991
The Commitments, 1991
Company Business, 1991
Cool as Ice, 1991
Curly Sue, 1991
The Dark Backward, 1991
The Dark Wind, 1991
Daughters of the Dust, 1991
Dead Again, 1991
Deceived, 1991
Defending Your Life, 1991
Defenseless, 1991
Delirious, 1991
Do or Die, 1991
Doc Hollywood, 1991
The Doctor, 1991
Dogfight, 1991
Don't Tell Mom the Babysitter's Dead, 1991
The Doors, 1991
Double Impact, 1991
Drop Dead Fred, 1991
Dutch, 1991
Dying Young, 1991
Edge of Honor, 1991
Ernest Scared Stupid, 1991
Eve of Destruction, 1991
Eyes of an Angel, 1991
F/X2, 1991
Father of the Bride, 1991
Final Approach, 1991
The Fisher King, 1991
The Five Heartbeats, 1991
Flight of the Intruder, 1991
For the Boys, 1991
Frankie and Johnny, 1991
Freddy's Dead: The Final Nightmare, 1991
Fried Green Tomatoes, 1991
Grand Canyon, 1991
Guilty by Suspicion, 1991
Hangin' with the Homeboys, 1991
Hard Promises, 1991
The Hard Way, 1991
Harley Davidson and the Marlboro Man, 1991
He Said, She Said, 1991
Hear My Song, 1991
Hearts of Darkness: A Filmmaker's Apocalypse, 1991
The Heroes of Desert Storm, 1991
Highlander II: The Quickening, 1991
Highway 61, 1991
The Hitman, 1991
Homicide, 1991
Hook, 1991
Hot Shots!, 1991
The Hours and Times, 1991
House Party 2, 1991
Hudson Hawk, 1991
If Looks Could Kill, 1991
The Indian Runner, 1991
The Inner Circle, 1991
JFK, 1991
Johnny Suede, 1991
Jungle Fever, 1991
Kafka, 1991
King Ralph, 1991
A Kiss Before Dying, 1991
L.A. Story, 1991
The Last Boy Scout, 1991
Liebestraum, 1991
Life Stinks, 1991
The Linguini Incident, 1991
Little Man Tate, 1991
Love Hurts, 1991
Madonna: Truth or Dare, 1991
The Man in the Moon, 1991
The Marrying Man, 1991
McBain, 1991
Meet the Applegates, 1991
Men of Respect, 1991
